시점,품목명,품종명,거래단위,등급,평년 평균가격(원),평균가격(원)
201908상순,건고추,화건,30 kg,상품,365916.666666666,538743.0
201908중순,건고추,화건,30 kg,상품,366476.0,516733.0
201908하순,건고추,화건,30 kg,상품,418140.833333333,493366.5
201909상순,건고추,화건,30 kg,상품,469805.666666666,470000.0
201909중순,건고추,화건,30 kg,상품,500805.666666666,470000.0
201909하순,건고추,화건,30 kg,상품,503403.333333333,460000.0
201910상순,건고추,화건,30 kg,상품,493228.0,430000.0
201910중순,건고추,화건,30 kg,상품,486603.333333333,430000.0
201910하순,건고추,화건,30 kg,상품,482537.0,431111.0
201911상순,건고추,화건,30 kg,상품,477285.666666666,432000.0
201911중순,건고추,화건,30 kg,상품,473208.333333333,432000.0
201911하순,건고추,화건,30 kg,상품,473833.333333333,433714.0
201912상순,건고추,화건,30 kg,상품,476619.0,435000.0
201912중순,건고추,화건,30 kg,상품,473254.0,435000.0
201912하순,건고추,화건,30 kg,상품,467361.0,429833.0
202001상순,건고추,화건,30 kg,상품,465000.0,401429.0
202001중순,건고추,화건,30 kg,상품,464143.0,400000.0
202001하순,건고추,화건,30 kg,상품,460459.333333333,398857.0
202002상순,건고추,화건,30 kg,상품,459533.333333333,396000.0
202002중순,건고추,화건,30 kg,상품,460575.0,396000.0
202002하순,건고추,화건,30 kg,상품,460277.666666666,401250.0
202003상순,건고추,화건,30 kg,상품,454444.333333333,399750.0
202003중순,건고추,화건,30 kg,상품,458333.333333333,399125.0
202003하순,건고추,화건,30 kg,상품,455666.666666666,403857.0
202004상순,건고추,화건,30 kg,상품,454333.333333333,406000.0
202004중순,건고추,화건,30 kg,상품,451476.333333333,406000.0
202004하순,건고추,화건,30 kg,상품,448295.333333333,406000.0
202005상순,건고추,화건,30 kg,상품,447533.333333333,406000.0
202005중순,건고추,화건,30 kg,상품,446200.0,406375.0
202005하순,건고추,화건,30 kg,상품,446014.666666666,409000.0
202006상순,건고추,화건,30 kg,상품,444533.333333333,428125.0
202006중순,건고추,화건,30 kg,상품,444325.0,446714.0
202006하순,건고추,화건,30 kg,상품,442866.666666666,453457.0
202007상순,건고추,화건,30 kg,상품,442116.666666666,451600.0
202007중순,건고추,화건,30 kg,상품,439366.666666666,451933.0
202007하순,건고추,화건,30 kg,상품,435973.666666666,453933.0
202008상순,건고추,화건,30 kg,상품,430831.0,472233.0
202008중순,건고추,화건,30 kg,상품,422768.0,656571.0
202008하순,건고추,화건,30 kg,상품,0.0,703571.0
202009상순,건고추,화건,30 kg,상품,476805.666666666,905650.0
202009중순,건고추,화건,30 kg,상품,511250.0,890800.0
202009하순,건고추,화건,30 kg,상품,508689.0,815114.0
202010상순,건고추,화건,30 kg,상품,490894.666666666,806000.0
202010중순,건고추,화건,30 kg,상품,485381.0,807057.0
202010하순,건고추,화건,30 kg,상품,482537.0,819750.0
202011상순,건고추,화건,30 kg,상품,477952.333333333,830629.0
202011중순,건고추,화건,30 kg,상품,473875.0,825750.0
202011하순,건고추,화건,30 kg,상품,475071.333333333,816467.0
202012상순,건고추,화건,30 kg,상품,479000.0,810371.0
202012중순,건고추,화건,30 kg,상품,479111.0,797800.0
202012하순,건고추,화건,30 kg,상품,472305.333333333,778150.0
202101상순,건고추,화건,30 kg,상품,460476.333333333,770400.0
202101중순,건고추,화건,30 kg,상품,460333.333333333,770400.0
202101하순,건고추,화건,30 kg,상품,456745.0,770400.0
202102상순,건고추,화건,30 kg,상품,454866.666666666,770400.0
202102중순,건고추,화건,30 kg,상품,455908.333333333,770400.0
202102하순,건고추,화건,30 kg,상품,457361.0,770400.0
202103상순,건고추,화건,30 kg,상품,451027.666666666,769686.0
202103중순,건고추,화건,30 kg,상품,454708.333333333,764029.0
202103하순,건고추,화건,30 kg,상품,453619.0,764000.0
202104상순,건고추,화건,30 kg,상품,453000.0,767800.0
202104중순,건고추,화건,30 kg,상품,450143.0,767800.0
202104하순,건고추,화건,30 kg,상품,446962.0,767800.0
202105상순,건고추,화건,30 kg,상품,446200.0,767800.0
202105중순,건고추,화건,30 kg,상품,444991.666666666,767800.0
202105하순,건고추,화건,30 kg,상품,445681.333333333,767800.0
202106상순,건고추,화건,30 kg,상품,450575.0,767800.0
202106중순,건고추,화건,30 kg,상품,456563.0,771133.0
202106하순,건고추,화건,30 kg,상품,457352.333333333,772800.0
202107상순,건고추,화건,30 kg,상품,455983.333333333,772800.0
202107중순,건고추,화건,30 kg,상품,453344.333333333,772800.0
202107하순,건고추,화건,30 kg,상품,450618.0,772800.0
202108상순,건고추,화건,30 kg,상품,451575.333333333,759943.0
202108중순,건고추,화건,30 kg,상품,488244.333333333,732243.0
202108하순,건고추,화건,30 kg,상품,0.0,602000.0
202109상순,건고추,화건,30 kg,상품,594433.333333333,599813.0
202109중순,건고추,화건,30 kg,상품,596516.666666666,587000.0
202109하순,건고추,화건,30 kg,상품,597022.333333333,580750.0
202110상순,건고추,화건,30 kg,상품,579339.0,578400.0
202110중순,건고추,화건,30 kg,상품,578250.0,562714.0
202110하순,건고추,화건,30 kg,상품,582727.333333333,558000.0
202111상순,건고추,화건,30 kg,상품,563202.333333333,558000.0
202111중순,건고추,화건,30 kg,상품,552944.333333333,558000.0
202111하순,건고추,화건,30 kg,상품,554071.333333333,565143.0
202112상순,건고추,화건,30 kg,상품,559000.0,570500.0
202112중순,건고추,화건,30 kg,상품,552000.0,570500.0
202112하순,건고추,화건,30 kg,상품,540555.333333333,560778.0
201801상순,건고추,햇산양건,30 kg,상품,0.0,0.0
201801중순,건고추,햇산양건,30 kg,상품,0.0,0.0
201801하순,건고추,햇산양건,30 kg,상품,0.0,0.0
201802상순,건고추,햇산양건,30 kg,상품,0.0,0.0
201802중순,건고추,햇산양건,30 kg,상품,0.0,0.0
201802하순,건고추,햇산양건,30 kg,상품,0.0,0.0
201803상순,건고추,햇산양건,30 kg,상품,0.0,0.0
201803중순,건고추,햇산양건,30 kg,상품,0.0,0.0
201803하순,건고추,햇산양건,30 kg,상품,0.0,0.0
201804상순,건고추,햇산양건,30 kg,상품,0.0,0.0
201804중순,건고추,햇산양건,30 kg,상품,0.0,0.0
201804하순,건고추,햇산양건,30 kg,상품,0.0,0.0
201805상순,건고추,햇산양건,30 kg,상품,0.0,0.0
201805중순,건고추,햇산양건,30 kg,상품,0.0,0.0
201805하순,건고추,햇산양건,30 kg,상품,0.0,0.0
201806상순,건고추,햇산양건,30 kg,상품,0.0,0.0
201806중순,건고추,햇산양건,30 kg,상품,0.0,0.0
201806하순,건고추,햇산양건,30 kg,상품,0.0,0.0
201807상순,건고추,햇산양건,30 kg,상품,0.0,0.0
201807중순,건고추,햇산양건,30 kg,상품,0.0,0.0
201807하순,건고추,햇산양건,30 kg,상품,0.0,0.0
201808상순,건고추,햇산양건,30 kg,상품,0.0,0.0
201808중순,건고추,햇산양건,30 kg,상품,0.0,0.0
201808하순,건고추,햇산양건,30 kg,상품,484324.0,915700.0
201809상순,건고추,햇산양건,30 kg,상품,0.0,0.0
201809중순,건고추,햇산양건,30 kg,상품,0.0,0.0
201809하순,건고추,햇산양건,30 kg,상품,0.0,0.0
201810상순,건고추,햇산양건,30 kg,상품,0.0,0.0
201810중순,건고추,햇산양건,30 kg,상품,0.0,0.0
201810하순,건고추,햇산양건,30 kg,상품,0.0,0.0
201811상순,건고추,햇산양건,30 kg,상품,0.0,0.0
201811중순,건고추,햇산양건,30 kg,상품,0.0,0.0
201811하순,건고추,햇산양건,30 kg,상품,0.0,0.0
201812상순,건고추,햇산양건,30 kg,상품,0.0,0.0
201812중순,건고추,햇산양건,30 kg,상품,0.0,0.0
201812하순,건고추,햇산양건,30 kg,상품,0.0,0.0
201901상순,건고추,햇산양건,30 kg,상품,0.0,0.0
201901중순,건고추,햇산양건,30 kg,상품,0.0,0.0
201901하순,건고추,햇산양건,30 kg,상품,0.0,0.0
201902상순,건고추,햇산양건,30 kg,상품,0.0,0.0
201902중순,건고추,햇산양건,30 kg,상품,0.0,0.0
201902하순,건고추,햇산양건,30 kg,상품,0.0,0.0
201903상순,건고추,햇산양건,30 kg,상품,0.0,0.0
201903중순,건고추,햇산양건,30 kg,상품,0.0,0.0
201903하순,건고추,햇산양건,30 kg,상품,0.0,0.0
201904상순,건고추,햇산양건,30 kg,상품,0.0,0.0
201904중순,건고추,햇산양건,30 kg,상품,0.0,0.0
201904하순,건고추,햇산양건,30 kg,상품,0.0,0.0
201905상순,건고추,햇산양건,30 kg,상품,0.0,0.0
201905중순,건고추,햇산양건,30 kg,상품,0.0,0.0
201905하순,건고추,햇산양건,30 kg,상품,0.0,0.0
201906상순,건고추,햇산양건,30 kg,상품,0.0,0.0
201906중순,건고추,햇산양건,30 kg,상품,0.0,0.0
201906하순,건고추,햇산양건,30 kg,상품,0.0,0.0
201907상순,건고추,햇산양건,30 kg,상품,0.0,0.0
201907중순,건고추,햇산양건,30 kg,상품,0.0,0.0
201907하순,건고추,햇산양건,30 kg,상품,0.0,0.0
201908상순,건고추,햇산양건,30 kg,상품,0.0,0.0
201908중순,건고추,햇산양건,30 kg,상품,0.0,0.0
201908하순,건고추,햇산양건,30 kg,상품,530301.666666666,592500.0
201909상순,건고추,햇산양건,30 kg,상품,0.0,0.0
201909중순,건고추,햇산양건,30 kg,상품,0.0,0.0
201909하순,건고추,햇산양건,30 kg,상품,0.0,0.0
201910상순,건고추,햇산양건,30 kg,상품,0.0,0.0
201910중순,건고추,햇산양건,30 kg,상품,0.0,0.0
201910하순,건고추,햇산양건,30 kg,상품,0.0,0.0
201911상순,건고추,햇산양건,30 kg,상품,0.0,0.0
201911중순,건고추,햇산양건,30 kg,상품,0.0,0.0
201911하순,건고추,햇산양건,30 kg,상품,0.0,0.0
201912상순,건고추,햇산양건,30 kg,상품,0.0,0.0
201912중순,건고추,햇산양건,30 kg,상품,0.0,0.0
201912하순,건고추,햇산양건,30 kg,상품,0.0,0.0
202001상순,건고추,햇산양건,30 kg,상품,0.0,0.0
202001중순,건고추,햇산양건,30 kg,상품,0.0,0.0
202001하순,건고추,햇산양건,30 kg,상품,0.0,0.0
202002상순,건고추,햇산양건,30 kg,상품,0.0,0.0
202002중순,건고추,햇산양건,30 kg,상품,0.0,0.0
202002하순,건고추,햇산양건,30 kg,상품,0.0,0.0
202003상순,건고추,햇산양건,30 kg,상품,0.0,0.0
202003중순,건고추,햇산양건,30 kg,상품,0.0,0.0
202003하순,건고추,햇산양건,30 kg,상품,0.0,0.0
202004상순,건고추,햇산양건,30 kg,상품,0.0,0.0
202004중순,건고추,햇산양건,30 kg,상품,0.0,0.0
202004하순,건고추,햇산양건,30 kg,상품,0.0,0.0
202005상순,건고추,햇산양건,30 kg,상품,0.0,0.0
202005중순,건고추,햇산양건,30 kg,상품,0.0,0.0
202005하순,건고추,햇산양건,30 kg,상품,0.0,0.0
202006상순,건고추,햇산양건,30 kg,상품,0.0,0.0
202006중순,건고추,햇산양건,30 kg,상품,0.0,0.0
202006하순,건고추,햇산양건,30 kg,상품,0.0,0.0
202007상순,건고추,햇산양건,30 kg,상품,0.0,0.0
202007중순,건고추,햇산양건,30 kg,상품,0.0,0.0
202007하순,건고추,햇산양건,30 kg,상품,0.0,0.0
202008상순,건고추,햇산양건,30 kg,상품,0.0,0.0
202008중순,건고추,햇산양건,30 kg,상품,0.0,0.0
202008하순,건고추,햇산양건,30 kg,상품,559039.666666666,1063400.0
202009상순,건고추,햇산양건,30 kg,상품,0.0,0.0
202009중순,건고추,햇산양건,30 kg,상품,0.0,0.0
202009하순,건고추,햇산양건,30 kg,상품,0.0,0.0
202010상순,건고추,햇산양건,30 kg,상품,0.0,0.0
202010중순,건고추,햇산양건,30 kg,상품,0.0,0.0
202010하순,건고추,햇산양건,30 kg,상품,0.0,0.0
202011상순,건고추,햇산양건,30 kg,상품,0.0,0.0
202011중순,건고추,햇산양건,30 kg,상품,0.0,0.0
202011하순,건고추,햇산양건,30 kg,상품,0.0,0.0
202012상순,건고추,햇산양건,30 kg,상품,0.0,0.0
202012중순,건고추,햇산양건,30 kg,상품,0.0,0.0
202012하순,건고추,햇산양건,30 kg,상품,0.0,0.0
202101상순,건고추,햇산양건,30 kg,상품,0.0,0.0
202101중순,건고추,햇산양건,30 kg,상품,0.0,0.0
202101하순,건고추,햇산양건,30 kg,상품,0.0,0.0
202102상순,건고추,햇산양건,30 kg,상품,0.0,0.0
202102중순,건고추,햇산양건,30 kg,상품,0.0,0.0
202102하순,건고추,햇산양건,30 kg,상품,0.0,0.0
202103상순,건고추,햇산양건,30 kg,상품,0.0,0.0
202103중순,건고추,햇산양건,30 kg,상품,0.0,0.0
202103하순,건고추,햇산양건,30 kg,상품,0.0,0.0
202104상순,건고추,햇산양건,30 kg,상품,0.0,0.0
202104중순,건고추,햇산양건,30 kg,상품,0.0,0.0
202104하순,건고추,햇산양건,30 kg,상품,0.0,0.0
202105상순,건고추,햇산양건,30 kg,상품,0.0,0.0
202105중순,건고추,햇산양건,30 kg,상품,0.0,0.0
202105하순,건고추,햇산양건,30 kg,상품,0.0,0.0
202106상순,건고추,햇산양건,30 kg,상품,0.0,0.0
202106중순,건고추,햇산양건,30 kg,상품,0.0,0.0
202106하순,건고추,햇산양건,30 kg,상품,0.0,0.0
202107상순,건고추,햇산양건,30 kg,상품,0.0,0.0
202107중순,건고추,햇산양건,30 kg,상품,0.0,0.0
202107하순,건고추,햇산양건,30 kg,상품,0.0,800000.0
202108상순,건고추,햇산양건,30 kg,상품,0.0,799571.0
202108중순,건고추,햇산양건,30 kg,상품,0.0,766343.0
202108하순,건고추,햇산양건,30 kg,상품,0.0,0.0
202109상순,건고추,햇산양건,30 kg,상품,0.0,0.0
202109중순,건고추,햇산양건,30 kg,상품,0.0,0.0
202109하순,건고추,햇산양건,30 kg,상품,0.0,0.0
202110상순,건고추,햇산양건,30 kg,상품,0.0,0.0
202110중순,건고추,햇산양건,30 kg,상품,0.0,0.0
202110하순,건고추,햇산양건,30 kg,상품,0.0,0.0
202111상순,건고추,햇산양건,30 kg,상품,0.0,0.0
202111중순,건고추,햇산양건,30 kg,상품,0.0,0.0
202111하순,건고추,햇산양건,30 kg,상품,0.0,0.0
202112상순,건고추,햇산양건,30 kg,상품,0.0,0.0
202112중순,건고추,햇산양건,30 kg,상품,0.0,0.0
202112하순,건고추,햇산양건,30 kg,상품,0.0,0.0
201801상순,건고추,햇산화건,30 kg,중품,0.0,0.0
201801중순,건고추,햇산화건,30 kg,중품,0.0,0.0
201801하순,건고추,햇산화건,30 kg,중품,0.0,0.0
201802상순,건고추,햇산화건,30 kg,중품,0.0,0.0
201802중순,건고추,햇산화건,30 kg,중품,0.0,0.0
201802하순,건고추,햇산화건,30 kg,중품,0.0,0.0
201803상순,건고추,햇산화건,30 kg,중품,0.0,0.0
201803중순,건고추,햇산화건,30 kg,중품,0.0,0.0
201803하순,건고추,햇산화건,30 kg,중품,0.0,0.0
201804상순,건고추,햇산화건,30 kg,중품,0.0,0.0
201804중순,건고추,햇산화건,30 kg,중품,0.0,0.0
201804하순,건고추,햇산화건,30 kg,중품,0.0,0.0
201805상순,건고추,햇산화건,30 kg,중품,0.0,0.0
201805중순,건고추,햇산화건,30 kg,중품,0.0,0.0
201805하순,건고추,햇산화건,30 kg,중품,0.0,0.0
201806상순,건고추,햇산화건,30 kg,중품,0.0,0.0
201806중순,건고추,햇산화건,30 kg,중품,0.0,0.0
201806하순,건고추,햇산화건,30 kg,중품,0.0,0.0
201807상순,건고추,햇산화건,30 kg,중품,0.0,0.0
201807중순,건고추,햇산화건,30 kg,중품,0.0,0.0
201807하순,건고추,햇산화건,30 kg,중품,0.0,0.0
201808상순,건고추,햇산화건,30 kg,중품,0.0,0.0
201808중순,건고추,햇산화건,30 kg,중품,0.0,0.0
201808하순,건고추,햇산화건,30 kg,중품,359800.0,740711.0
201809상순,건고추,햇산화건,30 kg,중품,0.0,0.0
201809중순,건고추,햇산화건,30 kg,중품,0.0,0.0
201809하순,건고추,햇산화건,30 kg,중품,0.0,0.0
201810상순,건고추,햇산화건,30 kg,중품,0.0,0.0
201810중순,건고추,햇산화건,30 kg,중품,0.0,0.0
201810하순,건고추,햇산화건,30 kg,중품,0.0,0.0
201811상순,건고추,햇산화건,30 kg,중품,0.0,0.0
201811중순,건고추,햇산화건,30 kg,중품,0.0,0.0
201811하순,건고추,햇산화건,30 kg,중품,0.0,0.0
201812상순,건고추,햇산화건,30 kg,중품,0.0,0.0
201812중순,건고추,햇산화건,30 kg,중품,0.0,0.0
201812하순,건고추,햇산화건,30 kg,중품,0.0,0.0
201901상순,건고추,햇산화건,30 kg,중품,0.0,0.0
201901중순,건고추,햇산화건,30 kg,중품,0.0,0.0
201901하순,건고추,햇산화건,30 kg,중품,0.0,0.0
201902상순,건고추,햇산화건,30 kg,중품,0.0,0.0
201902중순,건고추,햇산화건,30 kg,중품,0.0,0.0
201902하순,건고추,햇산화건,30 kg,중품,0.0,0.0
201903상순,건고추,햇산화건,30 kg,중품,0.0,0.0
201903중순,건고추,햇산화건,30 kg,중품,0.0,0.0
201903하순,건고추,햇산화건,30 kg,중품,0.0,0.0
201904상순,건고추,햇산화건,30 kg,중품,0.0,0.0
201904중순,건고추,햇산화건,30 kg,중품,0.0,0.0
201904하순,건고추,햇산화건,30 kg,중품,0.0,0.0
201905상순,건고추,햇산화건,30 kg,중품,0.0,0.0
201905중순,건고추,햇산화건,30 kg,중품,0.0,0.0
201905하순,건고추,햇산화건,30 kg,중품,0.0,0.0
201906상순,건고추,햇산화건,30 kg,중품,0.0,0.0
201906중순,건고추,햇산화건,30 kg,중품,0.0,0.0
201906하순,건고추,햇산화건,30 kg,중품,0.0,0.0
201907상순,건고추,햇산화건,30 kg,중품,0.0,0.0
201907중순,건고추,햇산화건,30 kg,중품,0.0,0.0
201907하순,건고추,햇산화건,30 kg,중품,0.0,0.0
201908상순,건고추,햇산화건,30 kg,중품,0.0,0.0
201908중순,건고추,햇산화건,30 kg,중품,0.0,0.0
201908하순,건고추,햇산화건,30 kg,중품,404000.0,442031.0
201909상순,건고추,햇산화건,30 kg,중품,0.0,0.0
201909중순,건고추,햇산화건,30 kg,중품,0.0,0.0
201909하순,건고추,햇산화건,30 kg,중품,0.0,0.0
201910상순,건고추,햇산화건,30 kg,중품,0.0,0.0
201910중순,건고추,햇산화건,30 kg,중품,0.0,0.0
201910하순,건고추,햇산화건,30 kg,중품,0.0,0.0
201911상순,건고추,햇산화건,30 kg,중품,0.0,0.0
201911중순,건고추,햇산화건,30 kg,중품,0.0,0.0
201911하순,건고추,햇산화건,30 kg,중품,0.0,0.0
201912상순,건고추,햇산화건,30 kg,중품,0.0,0.0
201912중순,건고추,햇산화건,30 kg,중품,0.0,0.0
201912하순,건고추,햇산화건,30 kg,중품,0.0,0.0
202001상순,건고추,햇산화건,30 kg,중품,0.0,0.0
202001중순,건고추,햇산화건,30 kg,중품,0.0,0.0
202001하순,건고추,햇산화건,30 kg,중품,0.0,0.0
202002상순,건고추,햇산화건,30 kg,중품,0.0,0.0
202002중순,건고추,햇산화건,30 kg,중품,0.0,0.0
202002하순,건고추,햇산화건,30 kg,중품,0.0,0.0
202003상순,건고추,햇산화건,30 kg,중품,0.0,0.0
202003중순,건고추,햇산화건,30 kg,중품,0.0,0.0
202003하순,건고추,햇산화건,30 kg,중품,0.0,0.0
202004상순,건고추,햇산화건,30 kg,중품,0.0,0.0
202004중순,건고추,햇산화건,30 kg,중품,0.0,0.0
202004하순,건고추,햇산화건,30 kg,중품,0.0,0.0
202005상순,건고추,햇산화건,30 kg,중품,0.0,0.0
202005중순,건고추,햇산화건,30 kg,중품,0.0,0.0
202005하순,건고추,햇산화건,30 kg,중품,0.0,0.0
202006상순,건고추,햇산화건,30 kg,중품,0.0,0.0
202006중순,건고추,햇산화건,30 kg,중품,0.0,0.0
202006하순,건고추,햇산화건,30 kg,중품,0.0,0.0
202007상순,건고추,햇산화건,30 kg,중품,0.0,0.0
202007중순,건고추,햇산화건,30 kg,중품,0.0,0.0
202007하순,건고추,햇산화건,30 kg,중품,0.0,0.0
202008상순,건고추,햇산화건,30 kg,중품,0.0,0.0
202008중순,건고추,햇산화건,30 kg,중품,0.0,812440.0
202008하순,건고추,햇산화건,30 kg,중품,420677.0,856071.0
202009상순,건고추,햇산화건,30 kg,중품,0.0,0.0
202009중순,건고추,햇산화건,30 kg,중품,0.0,0.0
202009하순,건고추,햇산화건,30 kg,중품,0.0,0.0
202010상순,건고추,햇산화건,30 kg,중품,0.0,0.0
202010중순,건고추,햇산화건,30 kg,중품,0.0,0.0
202010하순,건고추,햇산화건,30 kg,중품,0.0,0.0
202011상순,건고추,햇산화건,30 kg,중품,0.0,0.0
202011중순,건고추,햇산화건,30 kg,중품,0.0,0.0
202011하순,건고추,햇산화건,30 kg,중품,0.0,0.0
202012상순,건고추,햇산화건,30 kg,중품,0.0,0.0
202012중순,건고추,햇산화건,30 kg,중품,0.0,0.0
202012하순,건고추,햇산화건,30 kg,중품,0.0,0.0
202101상순,건고추,햇산화건,30 kg,중품,0.0,0.0
202101중순,건고추,햇산화건,30 kg,중품,0.0,0.0
202101하순,건고추,햇산화건,30 kg,중품,0.0,0.0
202102상순,건고추,햇산화건,30 kg,중품,0.0,0.0
202102중순,건고추,햇산화건,30 kg,중품,0.0,0.0
202102하순,건고추,햇산화건,30 kg,중품,0.0,0.0
202103상순,건고추,햇산화건,30 kg,중품,0.0,0.0
202103중순,건고추,햇산화건,30 kg,중품,0.0,0.0
202103하순,건고추,햇산화건,30 kg,중품,0.0,0.0
202104상순,건고추,햇산화건,30 kg,중품,0.0,0.0
202104중순,건고추,햇산화건,30 kg,중품,0.0,0.0
202104하순,건고추,햇산화건,30 kg,중품,0.0,0.0
202105상순,건고추,햇산화건,30 kg,중품,0.0,0.0
202105중순,건고추,햇산화건,30 kg,중품,0.0,0.0
202105하순,건고추,햇산화건,30 kg,중품,0.0,0.0
202106상순,건고추,햇산화건,30 kg,중품,0.0,0.0
202106중순,건고추,햇산화건,30 kg,중품,0.0,0.0
202106하순,건고추,햇산화건,30 kg,중품,0.0,0.0
202107상순,건고추,햇산화건,30 kg,중품,0.0,0.0
202107중순,건고추,햇산화건,30 kg,중품,0.0,0.0
202107하순,건고추,햇산화건,30 kg,중품,0.0,602000.0
202108상순,건고추,햇산화건,30 kg,중품,0.0,597786.0
202108중순,건고추,햇산화건,30 kg,중품,0.0,571000.0
202108하순,건고추,햇산화건,30 kg,중품,0.0,0.0
202109상순,건고추,햇산화건,30 kg,중품,0.0,0.0
202109중순,건고추,햇산화건,30 kg,중품,0.0,0.0
202109하순,건고추,햇산화건,30 kg,중품,0.0,0.0
202110상순,건고추,햇산화건,30 kg,중품,0.0,0.0
202110중순,건고추,햇산화건,30 kg,중품,0.0,0.0
202110하순,건고추,햇산화건,30 kg,중품,0.0,0.0
202111상순,건고추,햇산화건,30 kg,중품,0.0,0.0
202111중순,건고추,햇산화건,30 kg,중품,0.0,0.0
202111하순,건고추,햇산화건,30 kg,중품,0.0,0.0
202112상순,건고추,햇산화건,30 kg,중품,0.0,0.0
202112중순,건고추,햇산화건,30 kg,중품,0.0,0.0
202112하순,건고추,햇산화건,30 kg,중품,0.0,0.0
201801상순,건고추,햇산화건,30 kg,상품,0.0,0.0
201801중순,건고추,햇산화건,30 kg,상품,0.0,0.0
201801하순,건고추,햇산화건,30 kg,상품,0.0,0.0
201802상순,건고추,햇산화건,30 kg,상품,0.0,0.0
201802중순,건고추,햇산화건,30 kg,상품,0.0,0.0
201802하순,건고추,햇산화건,30 kg,상품,0.0,0.0
201803상순,건고추,햇산화건,30 kg,상품,0.0,0.0
201803중순,건고추,햇산화건,30 kg,상품,0.0,0.0
201803하순,건고추,햇산화건,30 kg,상품,0.0,0.0
201804상순,건고추,햇산화건,30 kg,상품,0.0,0.0
201804중순,건고추,햇산화건,30 kg,상품,0.0,0.0
201804하순,건고추,햇산화건,30 kg,상품,0.0,0.0
201805상순,건고추,햇산화건,30 kg,상품,0.0,0.0
201805중순,건고추,햇산화건,30 kg,상품,0.0,0.0
201805하순,건고추,햇산화건,30 kg,상품,0.0,0.0
